Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
3057,-1,37,0.0,2.2049334000000003,Porites_massive,born,none
3062,-1,42,0.0,2.46625884,Porites_massive,born,none
161,-1,48,0.0,3.39723072,Porites_massive,born,none
3083,-1,63,0.0,140.49508968,Pocillopora_grandis,born,none
3103,-1,83,0.0,1.97627364,Porites_massive,born,none
3110,-1,90,0.0,5.73282684,Pocillopora,born,none
3124,-1,104,0.0,121.85931924,Pocillopora_grandis,born,none
3132,-1,112,0.0,9.2280546,Porites_massive,born,none
3178,-1,158,0.0,165.10867955999998,Hydnophora_microconos,born,none
3220,-1,200,0.0,16.51250124,Pocillopora,born,none
3226,-1,206,0.0,9.407715840000002,Pocillopora,born,none
3297,-1,277,0.0,27.16151292,Porites_massive,born,none
3307,-1,287,0.0,165.20667659999998,Pocillopora_grandis,born,none
3330,-1,310,0.0,40.66877160000001,Porites_massive,born,none
3344,-1,324,0.0,138.5841474,Pocillopora,born,none
3349,-1,329,0.0,80.25957576,Hydnophora_microconos,born,none
3352,-1,332,0.0,11.988304560000001,Hydnophora_microconos,born,none
3354,-1,334,0.0,43.88634108,Hydnophora_microconos,born,none
3364,-1,344,0.0,18.35811216,Pocillopora,born,none
3365,-1,345,0.0,16.21851012,Pocillopora,born,none
3366,-1,346,0.0,9.4730472,Pocillopora,born,none
3367,-1,347,0.0,23.81328072,Pocillopora,born,none
3437,-1,417,0.0,25.18523928,Porites_massive,born,none
3438,-1,418,0.0,18.2111166,Porites_massive,born,none
3439,-1,419,0.0,28.990790999999998,Porites_massive,born,none
3440,-1,420,0.0,20.64470976,Porites_massive,born,none
3441,-1,421,0.0,42.171392880000006,Porites_massive,born,none
3457,-1,437,0.0,4.08321,Astrea_curta,born,none
3460,-1,440,0.0,3.1849038000000003,Astrea_curta,born,none
3494,-1,474,0.0,3.44622924,Astrea_curta,born,none
3538,-1,518,0.0,6.56580168,Astrea_curta,born,none
3541,-1,521,0.0,8.60740668,Astrea_curta,born,none
3547,-1,527,0.0,7.284446640000001,Astrea_curta,born,none
3552,-1,532,0.0,13.997243880000001,Astrea_curta,born,none
3598,-1,578,0.0,9.130057560000001,Astrea_curta,born,none
3616,-1,596,0.0,2.2375990800000003,Astrea_curta,born,none
3618,-1,598,0.0,2.46625884,Astrea_curta,born,none
3622,-1,602,0.0,2.2375990800000003,Astrea_curta,born,none
3038,-1,18,0.0,23.960276280000002,Pocillopora,dead,none
3291,-1,271,0.0,9.636375600000001,Porites_massive,dead,none
