Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
3032,-1,88,0.0,76.33442448999999,Pocillopora,born,none
3054,-1,110,0.0,9.556071939999999,Pocillopora,born,none
3085,-1,141,0.0,31.440455119999996,Pavona_submassive,born,none
3109,-1,165,0.0,6.5718378699999995,Hydnophora_microconos,born,none
3139,-1,195,0.0,20.172117729999997,Hydnophora_microconos,born,none
3147,-1,206,0.0,74.37754969,Porites_massive,born,none
3213,-1,272,0.0,16.454055609999998,Porites_massive,born,n/s
3229,-1,288,0.0,4.7780359699999995,Astrea_curta,born,none
3254,-1,313,0.0,11.757556089999998,Pocillopora,born,none
3255,-1,314,0.0,7.566582559999998,Pocillopora,born,none
3283,-1,342,0.0,26.18950774,Pavona_submassive,born,none
3284,-1,343,0.0,98.38188056999999,Pavona_submassive,born,none
3285,-1,344,0.0,11.366181129999998,Astrea_curta,born,none
3289,-1,348,0.0,51.59626555999999,Pavona_submassive,born,none
3290,-1,349,0.0,55.33063496999999,Hydnophora_microconos,born,none
3324,-1,383,0.0,20.025352119999997,Pavona_submassive,born,none
3325,-1,384,0.0,16.193138969999996,Pavona_submassive,born,none
3326,-1,385,0.0,27.689778419999996,Pavona_submassive,born,none
3381,-1,440,0.0,12.850144519999999,Pavona_submassive,born,none
3382,-1,441,0.0,3.1636142599999992,Pavona_submassive,born,none
3401,-1,460,0.0,1.0762811399999999,Pavona_massive,born,none
3409,-1,468,0.0,17.4488003,Pavona_submassive,born,none
3410,-1,469,0.0,19.487211549999998,Pavona_massive,born,none
3429,-1,488,0.0,18.802305369999996,Pavona_submassive,born,none
3445,-1,504,0.0,12.523998719999998,Porites_massive,born,none
3446,-1,505,0.0,46.133323409999996,Porites_massive,born,none
3458,-1,517,0.0,4.64757765,Porites_massive,born,none
3459,-1,518,0.0,29.58142406,Porites_massive,born,none
3460,-1,519,0.0,15.491925499999997,Porites_massive,born,none
3461,-1,520,0.0,8.300410609999998,Porites_massive,born,none
257,-1,544,0.0,2.3319424699999995,Astrea_curta,born,none
257,-1,545,0.0,12.523998719999998,Astrea_curta,born,none
3487,-1,546,0.0,23.612955919999994,Astrea_curta,born,none
3488,-1,547,0.0,2.9679267799999995,Astrea_curta,born,none
3489,-1,548,0.0,5.153103639999999,Astrea_curta,born,none
3490,-1,549,0.0,26.107971289999995,Astrea_curta,born,none
12,1,-1,407.6496354199999,0.0,Pocillopora,dead,none
1715,6,-1,54.22173924999999,0.0,Pocillopora,dead,none
479,11,-1,5.44663486,0.0,Pavona_submassive,dead,none
552,25,-1,20.433034369999998,0.0,Porites_massive,dead,fuse
1791,44,-1,48.95448457999999,0.0,Pocillopora,dead,none
2415,45,-1,16.372519159999996,0.0,Pocillopora,dead,none
49,49,-1,148.34741712999997,0.0,Pocillopora,dead,none
1804,54,-1,96.31085474,0.0,Pocillopora,dead,none
53,57,-1,96.22931829,0.0,Pocillopora,dead,none
57,58,-1,289.35655376,0.0,Pocillopora,dead,none
51,60,-1,241.86972527999998,0.0,Pocillopora,dead,none
69,67,-1,27.102715979999992,0.0,Pocillopora,dead,none
2296,68,-1,11.382488419999998,0.0,Pocillopora,dead,none
1832,81,-1,47.32375558,0.0,Pavona_submassive,dead,none
2295,92,-1,39.007037679999996,0.0,Pocillopora,dead,none
164,96,-1,10.664967659999997,0.0,Astrea_curta,dead,none
2231,97,-1,18.37831583,0.0,Astrea_curta,dead,none
1712,113,-1,136.05172046999996,0.0,Pocillopora,dead,none
530,122,-1,32.190590459999996,0.0,Pavona_submassive,dead,none
592,123,-1,21.63977383,0.0,Porites_massive,dead,none
1692,131,-1,31.733986339999998,0.0,Pocillopora,dead,none
512,146,-1,29.499887609999995,0.0,Goniastrea_stelligera,dead,none
2530,161,-1,35.20743910999999,0.0,Pavona_massive,dead,none
1179,164,-1,79.49803874999999,0.0,Pocillopora,dead,none
156,166,-1,43.03493831,0.0,Astrea_curta,dead,none
2552,183,-1,115.03162365999997,0.0,Pocillopora,dead,none
2322,185,-1,52.574702959999996,0.0,Porites_massive,dead,none
2562,193,-1,34.66929853999999,0.0,Porites_massive,dead,none
1168,238,-1,23.38465386,0.0,Astrea_curta,dead,none
1696,239,-1,15.051628669999998,0.0,Pocillopora,dead,none
1696,241,-1,17.856482549999996,0.0,Pocillopora,dead,none
2624,255,-1,112.43876454999997,0.0,Pocillopora,dead,none
515,258,-1,26.010127549999996,0.0,Goniastrea_stelligera,dead,none
451,264,-1,108.85116074999998,0.0,Astrea_curta,dead,none
252,265,-1,10.632353079999998,0.0,Goniastrea_stelligera,dead,none
250,266,-1,113.75965503999998,0.0,Pocillopora,dead,none
1191,267,-1,126.87071619999999,0.0,Pocillopora,dead,none
2642,273,-1,413.4061087899999,0.0,Porites_massive,dead,none
1729,281,-1,31.130616609999993,0.0,Pocillopora,dead,none
275,291,-1,58.64101483999999,0.0,Pocillopora,dead,none
1691,296,-1,24.05325275,0.0,Porites_massive,dead,none
293,303,-1,327.7765289999999,0.0,Pocillopora,dead,n/s
301,309,-1,405.74168248999996,0.0,Pocillopora,dead,none
299,310,-1,159.40375974999998,0.0,Pocillopora,dead,none
301,311,-1,68.60476903,0.0,Pocillopora,dead,none
1711,317,-1,35.223746399999996,0.0,Pocillopora,dead,none
1711,322,-1,9.2951553,0.0,Pocillopora,dead,none
2165,355,-1,7.5991971399999985,0.0,Porites_massive,dead,none
1175,381,-1,43.442620559999995,0.0,Pocillopora,dead,none
374,382,-1,8.92008763,0.0,Pocillopora,dead,none
554,386,-1,60.288051129999985,0.0,Pavona_massive,dead,none
1716,388,-1,32.190590459999996,0.0,Pocillopora,dead,none
384,393,-1,367.28909266999995,0.0,Pocillopora,dead,none
386,397,-1,64.20180073,0.0,Pocillopora,dead,none
398,403,-1,193.87737080999995,0.0,Astrea_curta,dead,none
1734,404,-1,55.42847871,0.0,Pavona_submassive,dead,none
398,411,-1,9.00162408,0.0,Astrea_curta,dead,none
