Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1922,-1,9,0.0,22.735922675399998,Porites_massive,born,none
1923,-1,10,0.0,4.436277595199999,Porites_massive,born,none
1924,-1,11,0.0,22.850091584099996,Porites_massive,born,none
1925,-1,12,0.0,8.807315813999997,Astrea_curta,born,none
1926,-1,13,0.0,4.1100807131999995,Astrea_curta,born,none
1927,-1,14,0.0,1.9245616038,Astrea_curta,born,none
1935,-1,22,0.0,9.736976927699999,Astrea_curta,born,none
1938,-1,25,0.0,9.378160357499999,Astrea_curta,born,none
1942,-1,29,0.0,2705.7215869694996,Acropora_branching,born,none
1946,-1,33,0.0,334.3191843617999,Acropora_branching,born,none
1948,-1,35,0.0,304.1949023090999,Acropora_branching,born,none
1953,-1,40,0.0,45.81435207689999,Goniastrea_stelligera,born,none
1955,-1,42,0.0,1276.1474417603997,Acropora_branching,born,none
1960,-1,47,0.0,2.6585045882999996,Astrea_curta,born,none
1962,-1,49,0.0,83.2617541305,Acropora_branching,born,none
1963,-1,50,0.0,45.92852098559999,Acropora_branching,born,none
1964,-1,51,0.0,42.7481013861,Goniastrea_stelligera,born,none
1966,-1,53,0.0,22.458655325699997,Astrea_curta,born,none
1973,-1,60,0.0,37.87145800019999,Pavona_submassive,born,none
1974,-1,61,0.0,510.3187120448999,Goniastrea_stelligera,born,none
1981,-1,68,0.0,164.79466478639995,Acropora_branching,born,none
1983,-1,70,0.0,161.38590736949996,Goniastrea_stelligera,born,none
1985,-1,72,0.0,118.49101738649999,Goniastrea_stelligera,born,none
1989,-1,76,0.0,7.763485791599999,Goniastrea_stelligera,born,none
1990,-1,77,0.0,384.1783777755,Goniastrea_stelligera,born,none
1991,-1,78,0.0,241.80974862659997,Pavona_submassive,born,none
1998,-1,85,0.0,326.4741493497,Goniastrea_stelligera,born,none
2005,-1,92,0.0,20.827670915699997,Acropora_branching,born,none
2012,-1,99,0.0,33.06005399069999,Goniastrea_stelligera,born,none
2013,-1,100,0.0,111.88553052599998,Goniastrea_stelligera,born,none
2014,-1,101,0.0,128.96193729869998,Pavona_submassive,born,none
2018,-1,105,0.0,17.223195369599996,Astrea_curta,born,none
2025,-1,112,0.0,15.3964928304,Porites_massive,born,none
