Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
704,-1,8,0.0,127.30482190855439,Porites_massive,born,none
705,-1,19,0.0,1.42267431034608,Pocillopora,born,none
706,-1,24,0.0,7.42407053904736,Pocillopora,born,none
707,-1,54,0.0,2.24030322433808,Porites_massive,born,none
708,-1,57,0.0,107.77984344242545,Pocillopora,born,none
709,-1,58,0.0,7.538538587006241,Porites_massive,born,none
710,-1,63,0.0,17.088444302432798,Pocillopora,born,none
711,-1,91,0.0,21.69987137734768,Pavona_massive,born,none
712,-1,116,0.0,30.18685950458464,Porites_massive,born,none
713,-1,122,0.0,7.75112210464416,Pocillopora,born,none
714,-1,125,0.0,12.86947910623408,Pocillopora,born,none
715,-1,158,0.0,13.78522348990512,Porites_massive,born,none
716,-1,159,0.0,11.332336747929121,Pocillopora,born,none
717,-1,166,0.0,8.96121289735232,Porites_massive,born,none
718,-1,172,0.0,7.24419217796912,Porites_massive,born,none
717,-1,173,0.0,35.8939093242488,Porites_massive,born,none
719,-1,186,0.0,57.90447968891344,Pavona_massive,born,none
720,-1,195,0.0,8.19264171819984,Pocillopora,born,none
721,-1,204,0.0,9.94236759414272,Pocillopora,born,none
722,-1,239,0.0,7.015256082051361,Pocillopora,born,none
723,-1,243,0.0,112.88184786573552,Pocillopora,born,none
724,-1,246,0.0,3.3359259690873597,Pocillopora,born,none
725,-1,262,0.0,16.05823187080288,Pocillopora,born,none
726,-1,263,0.0,26.39306134366176,Porites_massive,born,none
727,-1,278,0.0,5.2655302061084805,Pocillopora,born,none
728,-1,311,0.0,31.724001862889605,Porites_massive,born,none
729,-1,323,0.0,170.3938656759328,Pocillopora_grandis,born,none
730,-1,324,0.0,6.197627168059359,Pocillopora,born,none
731,-1,325,0.0,81.41948725532336,Pavona_massive,born,none
732,-1,336,0.0,6.93349319065216,Pocillopora,born,none
733,-1,349,0.0,111.5245838685088,Pocillopora_grandis,born,none
734,-1,359,0.0,7.58759632184576,Pocillopora,born,none
735,-1,368,0.0,186.63197590781394,Porites_massive,born,none
736,-1,371,0.0,55.20630427273984,Porites_massive,born,none
737,-1,372,0.0,199.15805087017137,Porites_massive,born,none
738,-1,373,0.0,85.57304213840273,Pocillopora,born,none
737,-1,374,0.0,40.52168897744352,Porites_massive,born,none
737,-1,377,0.0,2.1258351763792,Porites_massive,born,none
739,-1,381,0.0,228.46187114764467,Pocillopora,born,none
740,-1,383,0.0,5.886928180742401,Pocillopora,born,none
741,-1,384,0.0,27.930203701966725,Porites_massive,born,none
742,-1,385,0.0,17.088444302432798,Porites_massive,born,none
743,-1,387,0.0,195.26613723956947,Pocillopora,born,none
744,-1,394,0.0,25.90248399526656,Pocillopora,born,none
745,-1,395,0.0,3.8101507392027196,Pocillopora,born,none
746,-1,403,0.0,12.65689558859616,Pocillopora,born,none
747,-1,408,0.0,44.462660342884966,Porites_massive,born,none
284,-1,410,0.0,40.178284833566885,Pavona_massive,born,none
748,-1,415,0.0,43.4160953329752,Pocillopora,born,none
749,-1,420,0.0,77.69109940751984,Pocillopora_grandis,born,none
750,-1,423,0.0,34.38947212250352,Porites_massive,born,none
751,-1,424,0.0,193.50005878534674,Pocillopora_grandis,born,none
640,-1,427,0.0,9.0756809453112,Pocillopora,born,none
752,-1,428,0.0,2.7799383075728,Pocillopora,born,none
753,-1,429,0.0,2.97616924693088,Pocillopora,born,none
754,-1,441,0.0,19.296042370211204,Pavona_massive,born,none
755,-1,442,0.0,3.05793213833008,Pocillopora,born,none
756,-1,443,0.0,5.78881271106336,Pocillopora,born,none
757,-1,444,0.0,11.937382144283198,Pocillopora,born,none
758,-1,445,0.0,5.4781137237464,Pocillopora,born,none
759,-1,446,0.0,11.46315737416784,Pocillopora,born,none
760,-1,447,0.0,9.90966243758304,Pocillopora,born,none
761,-1,448,0.0,5.98504365042144,Pocillopora,born,none
762,-1,449,0.0,8.9121551625128,Pocillopora,born,none
763,-1,450,0.0,13.80157606818496,Pocillopora,born,none
764,-1,451,0.0,6.4102106856972805,Pocillopora,born,none
765,-1,452,0.0,6.63914678161504,Pocillopora,born,none
766,-1,453,0.0,6.4102106856972805,Pocillopora,born,none
767,-1,454,0.0,11.46315737416784,Pocillopora,born,none
768,-1,455,0.0,9.27191188466928,Pocillopora,born,none
769,-1,456,0.0,5.41270341062704,Pocillopora,born,none
770,-1,457,0.0,16.025526714243203,Pocillopora,born,none
771,-1,458,0.0,15.355071004769762,Pocillopora,born,none
772,-1,459,0.0,7.73476952636432,Pocillopora,born,none
773,-1,460,0.0,8.40522523583776,Pocillopora,born,none
774,-1,461,0.0,6.73726225129408,Pocillopora,born,none
775,-1,462,0.0,14.53744209077776,Pocillopora,born,none
776,-1,463,0.0,3.82650331748256,Pocillopora,born,none
777,-1,464,0.0,10.26941915973952,Pocillopora,born,none
778,-1,465,0.0,14.063217320662401,Pocillopora,born,none
779,-1,466,0.0,7.89829530916272,Pocillopora,born,none
780,-1,467,0.0,7.73476952636432,Pocillopora,born,none
