Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1358,-1,159,0.0,4.386661009999999,Porites_massive,born,fuse
1359,-1,160,0.0,10.175748959999998,Porites_massive,born,fuse
1649,-1,450,0.0,3.66914025,Astrea_curta,born,none
1691,-1,493,0.0,26.140585869999995,Porites_massive,born,none
1692,-1,494,0.0,12.214160209999998,Pocillopora,born,none
1696,-1,498,0.0,9.816988579999999,Pocillopora,born,none
1707,-1,509,0.0,57.336431639999994,Porites_massive,born,none
1708,-1,510,0.0,13.274134059999996,Porites_massive,born,none
1711,-1,513,0.0,294.96626152,Pocillopora_grandis,born,none
1712,-1,514,0.0,48.23696381999999,Pocillopora_grandis,born,none
1715,-1,517,0.0,10.99111346,Pocillopora,born,none
1716,-1,518,0.0,14.122113139999996,Pocillopora,born,none
1722,-1,524,0.0,10.159441669999998,Astrea_curta,born,none
1723,-1,525,0.0,11.643405059999997,Astrea_curta,born,none
1724,-1,526,0.0,13.388285089999997,Astrea_curta,born,none
1725,-1,527,0.0,12.964295549999997,Astrea_curta,born,none
1726,-1,528,0.0,3.7995985699999992,Astrea_curta,born,none
1727,-1,529,0.0,6.6696816100000005,Astrea_curta,born,none
1728,-1,530,0.0,7.224129469999999,Pocillopora,born,none
1729,-1,531,0.0,3.9789787599999995,Pocillopora,born,none
1731,-1,533,0.0,14.415644359999998,Pavona_massive,born,none
1732,-1,534,0.0,24.314169389999996,Goniastrea_stelligera,born,none
1733,-1,535,0.0,51.90610406999999,Goniastrea_stelligera,born,none
1734,-1,536,0.0,26.385195219999996,Pavona_submassive,born,none
15,5,-1,106.53552556999999,0.0,Pocillopora,dead,none
1,10,-1,117.64079006,0.0,Pocillopora,dead,none
481,100,-1,10.860655139999999,0.0,Astrea_curta,dead,none
79,107,-1,63.90826951,0.0,Pocillopora,dead,none
121,155,-1,58.57578567999999,0.0,Pocillopora,dead,none
578,187,-1,15.279930729999998,0.0,Hydnophora_microconos,dead,none
168,215,-1,44.86135478999999,0.0,Pocillopora,dead,none
163,216,-1,8.577634539999998,0.0,Pocillopora,dead,none
186,238,-1,165.86144658999999,0.0,Pocillopora,dead,none
228,272,-1,30.641397909999995,0.0,Pocillopora,dead,none
577,273,-1,31.326304089999994,0.0,Porites_massive,dead,none
359,388,-1,11.431410289999999,0.0,Pocillopora,dead,none
376,404,-1,139.45994407999996,0.0,Pocillopora,dead,none
507,429,-1,4.582348489999999,0.0,Astrea_curta,dead,none
416,431,-1,18.313086669999997,0.0,Porites_massive,dead,none
416,432,-1,22.58559665,0.0,Porites_massive,dead,none
230,458,-1,117.70601921999997,0.0,Pocillopora,dead,none
151,474,-1,25.928591099999995,0.0,Pocillopora,dead,none
502,506,-1,18.900149109999997,0.0,Pocillopora,dead,none
419,518,-1,17.611873199999998,0.0,Hydnophora_microconos,dead,none
194,529,-1,17.92171171,0.0,Astrea_curta,dead,none
1134,539,-1,35.20743910999999,0.0,Hydnophora_microconos,dead,none
221,547,-1,32.891803929999995,0.0,Goniastrea_stelligera,dead,none
221,548,-1,2.9516194899999992,0.0,Goniastrea_stelligera,dead,none
490,561,-1,2.6417809799999996,0.0,Pavona_submassive,dead,none
490,562,-1,1.7122654499999996,0.0,Pavona_submassive,dead,none
490,563,-1,0.6849061799999998,0.0,Pavona_submassive,dead,none
1184,590,-1,2.6907028499999996,0.0,Porites_massive,dead,none
2,1,483,267.2601758099999,338.83287161999993,Pocillopora,grow,n/s
7,6,0,327.12423739999997,372.00189948,Pocillopora,grow,n/s
12,7,2,225.10583115999998,257.88348406,Pocillopora,grow,n/s
13,14,411,55.47740057999999,88.72796488999998,Astrea_curta,grow,n/s
456,19,5,316.58972805999997,478.96141459,Porites_massive,grow,n/s
434,20,379,36.02280361,54.59680691999999,Goniastrea_stelligera,grow,n/s
21,25,428,575.2070401699999,704.1813967799999,Pavona_submassive,grow,n/s
22,27,331,53.50421848999999,69.17552418,Astrea_curta,grow,n/s
26,35,7,304.39187513999997,461.51261429,Pavona_submassive,grow,n/s
30,39,10,139.11749099,221.89329502999996,Pocillopora,grow,n/s
28,40,9,258.94345791,338.22950188999994,Pocillopora,grow,n/s
38,50,13,83.70531956999999,103.99158832999997,Pavona_submassive,grow,n/s
39,54,12,123.62556548999999,175.62951329999996,Pocillopora,grow,n/s
653,58,91,53.585754939999994,95.46287566,Pavona_submassive,grow,n/s
46,59,15,617.9321399699999,747.2000277999999,Goniastrea_stelligera,grow,n/s
2287,60,376,23.92279443,31.897059239999997,Astrea_curta,grow,n/s
503,63,18,16.73127954,25.390450529999995,Hydnophora_microconos,grow,n/s
525,64,377,7.485046109999998,18.78599808,Astrea_curta,grow,n/s
47,65,16,242.53832416999998,311.42031712999994,Pocillopora,grow,n/s
50,68,332,19.650284449999997,25.488294269999997,Astrea_curta,grow,n/s
53,73,30,38.30582421,54.48265588999999,Pocillopora,grow,n/s
54,74,72,178.92358587999996,232.55826268999996,Astrea_curta,grow,n/s
52,76,413,50.89505208999999,83.03672067999997,Goniastrea_stelligera,grow,n/s
57,77,31,90.97837091,174.96091440999996,Pocillopora,grow,n/s
408,81,41,68.42538883999998,120.72286786999999,Porites_massive,grow,n/s
64,82,33,145.85240175999996,191.56173563000002,Porites_massive,grow,n/s
61,85,37,127.22947657999997,256.05706757999997,Goniastrea_stelligera,grow,n/s
65,87,38,232.3788825,402.1214641099999,Porites_massive,grow,n/s
69,88,46,116.95588388,156.28906736,Pocillopora,grow,n/s
441,94,17,19.813357349999997,25.40675782,Astrea_curta,grow,n/s
74,96,54,171.40592518999998,208.66808283999995,Goniastrea_stelligera,grow,n/s
433,97,439,46.801922299999994,61.69047806999999,Astrea_curta,grow,n/s
75,102,59,44.46997982999999,59.880368879999985,Pocillopora,grow,n/s
76,104,63,290.88943902,348.58463104,Pocillopora,grow,n/s
555,105,425,66.64789422999998,113.85749877999999,Astrea_curta,grow,n/s
77,106,64,9.034238659999998,14.643946419999997,Hydnophora_microconos,grow,n/s
81,109,66,45.87240676999999,69.90935223,Hydnophora_microconos,grow,n/s
82,111,67,234.67821038999995,272.60896692999995,Pavona_massive,grow,n/s
83,112,68,143.92814153999998,169.74258160999997,Astrea_curta,grow,n/s
84,113,71,105.67123919999999,135.85603299,Porites_massive,grow,n/s
86,114,69,177.08086210999997,191.15405337999997,Pocillopora,grow,n/s
85,115,70,68.99614399000001,92.62540719999998,Goniastrea_stelligera,grow,n/s
89,116,73,263.52580639999996,349.79137049999997,Pocillopora,grow,n/s
90,118,74,65.21285270999999,76.25288803999999,Hydnophora_microconos,grow,n/s
91,120,374,18.182628349999995,27.836544029999995,Astrea_curta,grow,n/s
585,121,372,32.924418509999995,40.09962610999999,Astrea_curta,grow,n/s
410,123,440,51.75933846,70.34964905999999,Astrea_curta,grow,n/s
1881,133,81,101.15411986999999,234.58036665,Porites_massive,grow,n/s
107,137,433,70.72471672999998,97.07729737,Goniastrea_stelligera,grow,n/s
109,138,383,1359.3267725299997,1591.5751967099998,Porites_massive,grow,n/s
105,139,87,336.82707494999994,354.53679188999996,Goniastrea_stelligera,grow,n/s
110,140,373,88.59750657,106.43768182999999,Astrea_curta,grow,n/s
114,143,88,210.62495764,244.29951148999993,Pocillopora,grow,n/s
118,150,92,410.61756219999995,490.89835086999994,Goniastrea_stelligera,grow,n/s
120,154,447,269.10289958,491.6811007899999,Porites_massive,grow,n/s
124,160,101,122.54928434999998,134.89390287999998,Pavona_massive,grow,n/s
548,162,102,211.99477,232.46041894999996,Goniastrea_stelligera,grow,n/s
127,165,104,101.49657296,167.78570680999997,Pocillopora,grow,n/s
128,166,105,408.1877759899999,455.95182839999995,Goniastrea_stelligera,grow,n/s
505,167,448,16.633435799999997,52.13440612999999,Pocillopora,grow,n/s
129,168,107,263.08550957,320.2588683099999,Hydnophora_microconos,grow,n/s
132,170,109,367.76200408,453.8318806999999,Pocillopora,grow,n/s
134,171,110,113.05844156999997,176.23288302999998,Pocillopora,grow,n/s
133,172,519,32.500428969999994,39.46364179999999,Hydnophora_microconos,grow,n/s
136,173,111,148.98340143999997,192.5890949,Pocillopora,grow,n/s
140,177,112,308.55023409,371.83882657999993,Porites_massive,grow,n/s
142,178,116,121.79914900999998,174.91199254,Pocillopora,grow,n/s
141,179,114,69.01245128,130.99646056999998,Pocillopora,grow,n/s
143,180,115,343.26845449999996,400.01782369999995,Pocillopora,grow,n/s
547,182,482,68.00139929999999,114.78701430999999,Astrea_curta,grow,n/s
