Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
3740,-1,0,0.0,17.905404419999996,Porites_massive,born,none
3746,-1,6,0.0,2.5439372399999995,Pocillopora,born,none
443,-1,9,0.0,6.376150389999999,Astrea_curta,born,none
3757,-1,17,0.0,250.10490672999995,Pavona_submassive,born,none
3759,-1,19,0.0,121.76653442999998,Goniastrea_stelligera,born,none
3762,-1,22,0.0,69.12660231,Goniastrea_stelligera,born,none
3766,-1,26,0.0,9.719144839999998,Pavona_submassive,born,none
3774,-1,34,0.0,78.55221592999999,Pavona_submassive,born,none
3775,-1,35,0.0,357.08072912999995,Goniastrea_stelligera,born,none
3776,-1,36,0.0,31.897059239999997,Goniastrea_stelligera,born,none
3779,-1,39,0.0,397.27819897999996,Goniastrea_stelligera,born,none
3781,-1,41,0.0,4.69649952,Goniastrea_stelligera,born,none
3785,-1,45,0.0,248.66986520999995,Pavona_submassive,born,none
3787,-1,47,0.0,9.98006148,Hydnophora_microconos,born,none
3788,-1,48,0.0,117.44510257999998,Goniastrea_stelligera,born,none
3791,-1,51,0.0,77.80208059,Pavona_submassive,born,none
3792,-1,52,0.0,28.358377309999995,Pavona_submassive,born,none
3794,-1,54,0.0,6.40876497,Pocillopora,born,none
3801,-1,61,0.0,64.96824335999999,Pavona_submassive,born,none
3802,-1,62,0.0,184.56590821999998,Acropora_branching,born,none
3805,-1,65,0.0,32.630887290000004,Pavona_submassive,born,none
3806,-1,66,0.0,1.2393540399999998,Pavona_submassive,born,none
3807,-1,67,0.0,70.78994588999998,Pavona_submassive,born,none
3808,-1,68,0.0,318.9216705299999,Pocillopora_grandis,born,none
3809,-1,69,0.0,27.52670552,Pavona_submassive,born,none
3810,-1,70,0.0,42.398953999999996,Pavona_submassive,born,none
3811,-1,71,0.0,2.4787080799999996,Pavona_submassive,born,none
3813,-1,73,0.0,329.53771631999996,Goniastrea_stelligera,born,none
3816,-1,76,0.0,218.0284673,Acropora_branching,born,none
3817,-1,77,0.0,11.757556089999998,Pavona_submassive,born,none
3818,-1,78,0.0,22.0148415,Pavona_massive,born,none
3819,-1,79,0.0,10.208363539999999,Pavona_submassive,born,none
3821,-1,81,0.0,129.21896595999996,Goniastrea_stelligera,born,none
3822,-1,82,0.0,1.4676561,Pavona_submassive,born,none
3823,-1,83,0.0,473.80831094999996,Pavona_submassive,born,none
3827,-1,87,0.0,2.9026976199999996,Porites_massive,born,none
3828,-1,88,0.0,75.81259120999998,Acropora_branching,born,none
3830,-1,90,0.0,3.701754829999999,Astrea_curta,born,none
3833,-1,93,0.0,7.664426299999999,Pavona_submassive,born,none
