Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1220,-1,19,0.0,10.58011814705648,Pocillopora,born,none
1221,-1,40,0.0,38.199622861706246,Porites_massive,born,none
1222,-1,45,0.0,8.634161331755521,Pocillopora,born,none
1223,-1,96,0.0,423.84247643517296,Pocillopora_grandis,born,none
1224,-1,112,0.0,28.22455011100384,Pocillopora,born,none
1225,-1,129,0.0,7.06431381689088,Pocillopora,born,none
1226,-1,130,0.0,12.0191450356824,Pocillopora,born,none
1227,-1,195,0.0,88.82720521609087,Pocillopora_grandis,born,none
1228,-1,221,0.0,6.14856943321984,Pocillopora,born,none
1229,-1,228,0.0,7.342307647648161,Pocillopora,born,none
1230,-1,234,0.0,10.3838872076984,Pocillopora,born,none
1231,-1,250,0.0,10.33482947285888,Pocillopora,born,none
1232,-1,256,0.0,8.68321906659504,Pocillopora,born,none
1233,-1,279,0.0,5.85422302418272,Pocillopora,born,none
1234,-1,285,0.0,4.88942090567216,Pocillopora,born,none
1235,-1,299,0.0,2.32206611573728,Pocillopora,born,none
1236,-1,300,0.0,7.9800582005619205,Pocillopora,born,none
1237,-1,304,0.0,12.705953323435681,Pocillopora,born,none
1238,-1,307,0.0,8.96121289735232,Pocillopora,born,none
1239,-1,313,0.0,14.897198812934239,Pocillopora,born,none
1240,-1,319,0.0,174.05684321061696,Porites_massive,born,none
1241,-1,321,0.0,6.541031311936,Pocillopora,born,none
1242,-1,335,0.0,5.05294668847056,Pocillopora,born,none
1243,-1,340,0.0,16.270815388440802,Pavona_massive,born,none
1244,-1,344,0.0,11.31598416964928,Pavona_massive,born,none
1245,-1,364,0.0,30.562968805020958,Porites_massive,born,none
1246,-1,375,0.0,42.516703527584006,Pocillopora,born,none
1247,-1,380,0.0,226.76120300654128,Pocillopora_grandis,born,none
1248,-1,391,0.0,21.65081364250816,Pocillopora,born,none
1249,-1,412,0.0,460.53766209513395,Pocillopora_grandis,born,none
1250,-1,413,0.0,13.376409032909118,Pocillopora,born,none
1251,-1,415,0.0,19.214279478812,Pocillopora,born,none
1252,-1,445,0.0,262.7205226439094,Pocillopora_grandis,born,none
1253,-1,451,0.0,3.40133628220672,Pocillopora,born,none
1254,-1,463,0.0,8.48698812723696,Pocillopora,born,none
1255,-1,470,0.0,20.636953789158078,Pocillopora,born,none
1256,-1,528,0.0,11.332336747929121,Hydnophora_microconos,born,none
1257,-1,548,0.0,29.17299965123456,Hydnophora_microconos,born,none
1258,-1,555,0.0,9.58261087198624,Hydnophora_microconos,born,none
1259,-1,580,0.0,21.32376207691136,Hydnophora_microconos,born,none
1260,-1,624,0.0,3.45039401704624,Hydnophora_microconos,born,none
1261,-1,632,0.0,74.7312827388688,Hydnophora_microconos,born,none
1262,-1,660,0.0,14.5537946690576,Hydnophora_microconos,born,none
526,-1,667,0.0,81.20690373768544,Hydnophora_microconos,born,none
1263,-1,690,0.0,0.63775055291376,Hydnophora_microconos,born,none
549,-1,778,0.0,27.406921197011844,Astrea_curta,born,none
1264,-1,784,0.0,10.629175881896002,Porites_massive,born,none
846,1,-1,1856.4264492188358,0.0,Acropora_branching,dead,none
847,2,-1,188.43075951859632,0.0,Acropora_branching,dead,none
848,3,-1,403.49986905505205,0.0,Acropora_branching,dead,none
849,6,-1,15.51859678756816,0.0,Acropora_branching,dead,none
850,9,-1,15.878353509724638,0.0,Acropora_branching,dead,none
851,11,-1,115.67813875158818,0.0,Goniastrea_stelligera,dead,none
852,13,-1,82.36793679555409,0.0,Acropora_branching,dead,none
853,16,-1,18.65829181729744,0.0,Acropora_branching,dead,none
854,17,-1,47.73317599885296,0.0,Acropora_branching,dead,none
855,18,-1,18.41300314309984,0.0,Porites_massive,dead,none
418,20,-1,59.1963333730208,0.0,Hydnophora_microconos,dead,none
856,21,-1,201.46376440762882,0.0,Goniastrea_stelligera,dead,none
857,22,-1,214.6275899229,0.0,Goniastrea_stelligera,dead,none
858,23,-1,49.27031835715792,0.0,Porites_massive,dead,none
859,25,-1,65.47572343247936,0.0,Acropora_branching,dead,none
860,26,-1,27.19433767937392,0.0,Pavona_massive,dead,none
417,28,-1,95.48270457598578,0.0,Hydnophora_microconos,dead,none
861,30,-1,495.074307422156,0.0,Goniastrea_stelligera,dead,none
862,31,-1,38.837373414620004,0.0,Goniastrea_stelligera,dead,none
863,32,-1,3.46674659532608,0.0,Goniastrea_stelligera,dead,none
864,33,-1,469.7932214015234,0.0,Acropora_branching,dead,none
865,34,-1,414.4560965025448,0.0,Acropora_branching,dead,none
866,36,-1,1.76607845422272,0.0,Acropora_branching,dead,none
867,39,-1,285.7940105967637,0.0,Goniastrea_stelligera,dead,none
21,42,-1,14.439326621098722,0.0,Porites_massive,dead,none
869,44,-1,15.46953905272864,0.0,Pavona_massive,dead,none
870,45,-1,20.620601210878238,0.0,Astrea_curta,dead,none
13,46,-1,22.86090443521632,0.0,Porites_massive,dead,none
871,47,-1,70.2670288684725,0.0,Pavona_massive,dead,none
872,48,-1,138.19563904292784,0.0,Goniastrea_stelligera,dead,none
873,50,-1,21.29105692035168,0.0,Pavona_massive,dead,none
874,52,-1,53.81633511895344,0.0,Acropora_branching,dead,none
18,54,-1,133.91126353360977,0.0,Pocillopora,dead,none
875,57,-1,22.28856419542192,0.0,Acropora_branching,dead,none
13,58,-1,54.58490629810593,0.0,Porites_massive,dead,none
876,59,-1,163.5257827984,0.0,Goniastrea_stelligera,dead,none
877,61,-1,8.568751018636162,0.0,Hydnophora_microconos,dead,none
416,62,-1,13.11476778043168,0.0,Hydnophora_microconos,dead,none
878,65,-1,9.35367477606848,0.0,Porites_massive,dead,none
879,66,-1,731.9414038056384,0.0,Pavona_massive,dead,none
880,67,-1,32.459867885482396,0.0,Porites_massive,dead,none
881,68,-1,688.2636672201859,0.0,Goniastrea_stelligera,dead,none
882,69,-1,57.397549762238405,0.0,Goniastrea_stelligera,dead,none
25,71,-1,278.402645214276,0.0,Pocillopora,dead,none
883,74,-1,3.04157956005024,0.0,Acropora_branching,dead,none
884,79,-1,656.0327354306211,0.0,Goniastrea_stelligera,dead,none
18,80,-1,87.55170411026336,0.0,Pocillopora,dead,none
885,83,-1,92.9644075208904,0.0,Pavona_massive,dead,none
886,85,-1,409.79561169279043,0.0,Goniastrea_stelligera,dead,none
887,86,-1,1.16103305786864,0.0,Acropora_branching,dead,none
888,88,-1,636.6058724341711,0.0,Acropora_branching,dead,none
756,90,-1,18.13500931234256,0.0,Pocillopora,dead,none
889,92,-1,30.661084274700002,0.0,Acropora_branching,dead,none
890,93,-1,13.53993481570752,0.0,Acropora_branching,dead,none
379,95,-1,52.491776278286395,0.0,Porites_massive,dead,none
891,98,-1,18.65829181729744,0.0,Acropora_branching,dead,none
892,100,-1,20.015555814524163,0.0,Acropora_branching,dead,none
893,101,-1,36.3027237812448,0.0,Goniastrea_stelligera,dead,none
32,103,-1,43.4160953329752,0.0,Pocillopora,dead,none
894,104,-1,30.448500757062078,0.0,Goniastrea_stelligera,dead,none
895,105,-1,28.55160167660064,0.0,Acropora_branching,dead,none
896,106,-1,38.886431149459526,0.0,Goniastrea_stelligera,dead,none
897,107,-1,3.38498370392688,0.0,Pavona_massive,dead,none
898,108,-1,204.89780584639522,0.0,Acropora_branching,dead,none
899,111,-1,51.21627517245888,0.0,Pavona_massive,dead,none
900,112,-1,36.33542893780448,0.0,Goniastrea_stelligera,dead,none
901,114,-1,427.48910139157726,0.0,Goniastrea_stelligera,dead,none
902,116,-1,76.23571994061408,0.0,Goniastrea_stelligera,dead,none
903,119,-1,94.97577464931072,0.0,Goniastrea_stelligera,dead,none
904,121,-1,147.02603131404146,0.0,Goniastrea_stelligera,dead,none
905,123,-1,126.99412292123745,0.0,Goniastrea_stelligera,dead,none
906,126,-1,477.1355290491715,0.0,Goniastrea_stelligera,dead,none
907,128,-1,107.2238557809109,0.0,Acropora_branching,dead,none
908,129,-1,35.10898556681648,0.0,Goniastrea_stelligera,dead,none
909,132,-1,27.07986963141504,0.0,Acropora_branching,dead,none
910,133,-1,338.6128384406469,0.0,Pavona_submassive,dead,none
911,137,-1,42.958223141139676,0.0,Goniastrea_stelligera,dead,none
47,139,-1,132.16153765766688,0.0,Pocillopora,dead,none
912,141,-1,61.142290188321766,0.0,Acropora_branching,dead,none
42,142,-1,150.0839634523715,0.0,Pocillopora,dead,none
913,146,-1,187.15525841276883,0.0,Goniastrea_stelligera,dead,none
914,148,-1,117.83667908452703,0.0,Acropora_branching,dead,none
915,149,-1,2613.469060684029,0.0,Acropora_branching,dead,none
916,151,-1,29.87616051726768,0.0,Acropora_branching,dead,none
917,152,-1,183.98285822647983,0.0,Goniastrea_stelligera,dead,none
918,154,-1,74.99292399134625,0.0,Goniastrea_stelligera,dead,none
919,155,-1,104.5256803647373,0.0,Goniastrea_stelligera,dead,none
920,158,-1,13.065710045592162,0.0,Acropora_branching,dead,none
921,159,-1,68.46824525769009,0.0,Pavona_submassive,dead,none
922,160,-1,82.44969968695328,0.0,Pavona_massive,dead,none
923,162,-1,151.52299034099744,0.0,Pavona_submassive,dead,none
295,164,-1,16.82680304995536,0.0,Pocillopora,dead,none
924,166,-1,3.5812146432849596,0.0,Acropora_branching,dead,none
925,168,-1,121.95752881104673,0.0,Goniastrea_stelligera,dead,none
926,175,-1,94.97577464931072,0.0,Goniastrea_stelligera,dead,none
927,176,-1,205.82990280834608,0.0,Goniastrea_stelligera,dead,none
928,177,-1,799.8209562452544,0.0,Goniastrea_stelligera,dead,none
929,178,-1,85.86738854743984,0.0,Goniastrea_stelligera,dead,none
930,180,-1,140.79569898942242,0.0,Pavona_massive,dead,none
58,185,-1,126.02932080272689,0.0,Pocillopora,dead,none
371,193,-1,75.12374461758496,0.0,Pocillopora,dead,none
63,196,-1,18.02054126438368,0.0,Porites_massive,dead,none
932,197,-1,33.34290711259376,0.0,Goniastrea_stelligera,dead,none
933,198,-1,1755.6128041236225,0.0,Goniastrea_stelligera,dead,none
70,201,-1,111.13212198979265,0.0,Porites_massive,dead,none
934,202,-1,240.02314399149154,0.0,Goniastrea_stelligera,dead,none
935,204,-1,104.60744325613649,0.0,Goniastrea_stelligera,dead,none
936,207,-1,28.600659411440162,0.0,Goniastrea_stelligera,dead,none
937,209,-1,45.01864800439952,0.0,Goniastrea_stelligera,dead,none
938,212,-1,100.45388837305713,0.0,Goniastrea_stelligera,dead,none
940,215,-1,21.19294145067264,0.0,Goniastrea_stelligera,dead,none
942,219,-1,263.6526196058603,0.0,Goniastrea_stelligera,dead,none
943,220,-1,88.28757013285616,0.0,Goniastrea_stelligera,dead,none
944,225,-1,54.372322780468004,0.0,Goniastrea_stelligera,dead,none
74,226,-1,20.80047957195648,0.0,Pocillopora,dead,none
945,233,-1,77.13511174600528,0.0,Pavona_submassive,dead,none
946,234,-1,12.23172855332032,0.0,Goniastrea_stelligera,dead,none
947,238,-1,75.15644977414465,0.0,Goniastrea_stelligera,dead,none
948,239,-1,312.90658538473843,0.0,Goniastrea_stelligera,dead,none
458,242,-1,31.249777092774238,0.0,Hydnophora_microconos,dead,none
81,243,-1,93.07887556884927,0.0,Pocillopora,dead,none
949,244,-1,126.48719299456239,0.0,Pavona_massive,dead,none
950,248,-1,114.77874694619695,0.0,Goniastrea_stelligera,dead,none
952,251,-1,215.18357758441456,0.0,Acropora_branching,dead,none
953,252,-1,198.3240693778995,0.0,Goniastrea_stelligera,dead,none
768,253,-1,21.0948259809936,0.0,Pocillopora,dead,none
954,260,-1,163.3295518590419,0.0,Pavona_massive,dead,none
956,264,-1,1186.1342655281944,0.0,Goniastrea_stelligera,dead,none
957,265,-1,14.684615295296322,0.0,Pocillopora,dead,none
958,267,-1,17.31738039835056,0.0,Hydnophora_microconos,dead,none
959,268,-1,101.2224595522096,0.0,Goniastrea_stelligera,dead,none
960,270,-1,96.07139739406,0.0,Goniastrea_stelligera,dead,none
961,272,-1,726.8557519606081,0.0,Goniastrea_stelligera,dead,none
962,277,-1,193.81075777266366,0.0,Goniastrea_stelligera,dead,none
963,280,-1,11.98643987912272,0.0,Goniastrea_stelligera,dead,none
964,283,-1,140.0598329668296,0.0,Goniastrea_stelligera,dead,none
