"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR39","FR39_365",365,42.7292870452219,71.4607670829008,117.215281109893,176.166325808716,158.014963918094,198.078780703702,223.114578050137,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_366",366,105.686713422606,142.283783612888,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_368",368,75.2709178221035,92.8172343163718,40.2273425684064,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_370",370,54.3232650456285,44.0865510424486,38.019744500628,79.9641077884176,106.733278432516,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_371",371,42.8110499366211,59.6705581431362,52.8515330004429,75.123744617585,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_374",374,461.862220935801,311.483911074392,370.00978873794,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_375",375,68.1084885355336,43.0726911890986,53.14587940948,65.7537172632366,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_376",376,15.5513019441278,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_377",377,318.744455830641,330.649132818365,284.894618791372,252.45110348417,203.883945993045,179.044379585968,179.812950765121,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_378",378,13.2128832501107,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_389",389,6.72090967301424,10.2530665814597,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_39",39,58.6239931332264,90.8222197662314,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_390",390,2.97616924693088,5.46176114546656,24.9703870333157,61.9435665240339,91.7706693064621,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_391",391,7.30960249108848,25.5754324296698,39.246187871616,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_392",392,7.21148702140944,22.6973786524179,29.4019357471523,33.2611442211946,50.3168833670677,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_393",393,16.9739762544739,34.0787731351866,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_394",394,292.940087305054,332.317095802908,370.729302182253,26.2785932957029,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_395",395,14.1122750555019,35.3052165061746,71.3953567697814,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_396",396,25.0685025029947,42.4022354796251,70.4305546512709,39.9329961593693,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_397",397,3.79379816092288,16.4670463277989,41.0940292172379,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_398",398,5.67434466310448,16.9412710979142,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_399",399,19.7866197186064,36.9568269124384,92.3757147028162,154.531864744488,211.618715519409,261.559489586041,301.050966131854,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_4",4,52.5244814348461,83.6597904796614,95.1229478538293,135.186764639437,139.879954605751,136.789317310862,162.626390993009,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_40",40,174.465657667613,192.044679318441,193.222064954589,257.732986268558,285.401548718048,306.856131421198,340.624205569067,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_400",400,96.2185705985786,131.065914912918,184.669666514233,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_401",401,22.9426673266155,22.6973786524179,43.9066726813704,106.716925854236,132.89740368026,177.670763010462,207.399750323211,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_402",402,3.72838784780352,10.9562274474928,46.1142707491488,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_403",403,4.44790129211648,14.7663781866955,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_404",404,6.72090967301424,19.9828506579645,46.1469759057085,91.8524321978613,125.653211502291,137.492478176895,178.177692937137,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_405",405,24.1527581193237,48.4853945997256,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_41",41,164.228943664433,90.9366878141902,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_42",42,264.879062976848,96.8399685732125,113.863002562526,150.083963452372,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_43",43,57.4629600753578,27.2433954142134,33.5064328953922,73.4067238982018,125.015460949377,171.162436855085,207.694096732248,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_45",45,18.0532464209434,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_46",46,74.7476353171486,33.5391380519518,22.1250384126235,23.9565271799656,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_47",47,26.9326964268965,48.3709265517667,96.9053788863318,132.161537657667,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_49",49,23.1716034225333,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_5",5,39.148072401937,0,0,0,0,0,0,"died","AD","AD","AD","AD","AD"
"FR39","FR39_51",51,164.752226169388,157.148277269262,95.5317623108253,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_52",52,219.876767550729,169.461768713982,235.934999421532,248.035907348613,312.203424518705,308.164337683585,366.346811203256,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_53",53,484.183490287783,99.4563810979869,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_54",54,115.808959377827,126.945065186398,57.6101332798763,58.4931725069877,75.123744617585,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_55",55,71.3790041915016,72.867088814967,59.686910721416,88.8272052160909,126.356372368324,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_56",56,284.436746599537,232.304727043407,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_58",58,342.864508793405,129.299836458695,137.100016298179,126.029320802727,0,0,0,"alive","alive","alive","died","AD","AD"
"FR39","FR39_59",59,160.50055581663,79.8659923187385,52.2464876040888,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_60",60,273.709455247962,357.483713775582,487.53576883515,439.361073222741,345.333748113661,0,0,"alive","alive","alive","alive","died","AD"
"FR39","FR39_602",602,2.91075893381152,17.6607845422272,75.7614951704987,137.247189502697,190.458479225296,240.857125483763,274.96860377551,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_603",603,16.6796298454368,15.3387184264899,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_604",604,8.14358398336032,20.8168321502363,66.538641020669,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR39","FR39_61",61,184.358967526916,212.452697011681,264.241312423935,305.54792515881,190.196837972819,137.98305552529,207.43245547977,"alive","alive","alive","alive","alive","alive"
"FR39","FR39_610",610,0,11.4795099524477,34.6838185315406,8.68321906659504,0,0,0,"recruit","alive","alive","died","AD","AD"
"FR39","FR39_613",613,0,14.6682627170165,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR39","FR39_614",614,0,11.0706954954517,44.0865510424486,40.063816785608,0,0,0,"recruit","alive","alive","died","AD","AD"
"FR39","FR39_615",615,0,8.47063554895712,33.3756122691534,71.9022866964565,125.146281575616,176.100915495597,220.023940755247,"recruit","alive","alive","alive","alive","alive"
"FR39","FR39_617",617,0,7.57124374356592,17.987836107824,45.6563985573133,54.5194959849866,0,0,"recruit","alive","alive","alive","died","AD"
"FR39","FR39_618",618,0,14.5864998256173,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR39","FR39_619",619,0,10.0404830638218,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
"FR39","FR39_62",62,123.429260856232,136.315092540746,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR39","FR39_620",620,0,38.8210208363402,0,0,0,0,0,"recruit","died","AD","AD","AD","AD"
