"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR14","FR14_4597",0,0,0,0,0,0,1.76118732,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4598",0,0,0,0,0,0,114.4771758,62.7830665,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4601",0,0,0,0,0,0,2.80485388,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4602",0,0,0,0,0,0,659.7929534,707.72007871,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4604",0,0,0,0,0,0,7.58288985,9.55607194,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4605",0,0,0,0,0,0,11.17049365,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4606",0,0,0,0,0,0,84.17823098,60.30435842,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4608",0,0,0,0,0,0,5.10418177,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4609",0,0,0,0,0,0,4.76172868,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4612",0,0,0,0,0,0,125.68028403,147.36897973,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4613",0,0,0,0,0,0,27.62454926,21.42777906,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4614",0,0,0,0,0,0,3.47345277,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4615",0,0,0,0,0,0,37.76768364,35.69665781,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4617",0,0,0,0,0,0,6.05000459,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4618",0,0,0,0,0,0,6.09892646,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4619",0,0,0,0,0,0,3.14730697,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4620",0,0,0,0,0,0,26.2547369,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4621",0,0,0,0,0,0,1.53288526,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4622",0,0,0,0,0,0,542.00539773,537.79811691,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4624",0,0,0,0,0,0,5.78908795,0,"BC","BC","BC","BC","recruit","died"
"FR14","FR14_4625",0,0,0,0,0,0,25.91228381,19.0795293,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4626",0,0,0,0,0,0,19.87858651,8.00687939,"BC","BC","BC","BC","recruit","alive"
"FR14","FR14_4627",0,0,0,0,0,0,49.96553656,35.04436621,"BC","BC","BC","BC","recruit","alive"
