"Site","GenSiteID","Class","Year","CoralSize","log_CoralSize","Recruitment","Mortality","GrowthRate","Next_Year_Mortality","Max_DHW","Max_DHW_Lag1","Max_DHW_Lag2","Mortality_Lag1","FirstYear","first_recruitment_year","first_mortality_year","SiteMortality_Prop","SiteMortality_Prop_Lag1"
"FR132","FR132_976","coral_G",2019,81.64786716,4.40241569733617,0,0,0.0574290928339693,0,6.3129,4.63,0,0,0,2015,NA,0.249316939890712,0.249316939890712
"FR14","FR14_0","coral_G",2019,120.08688356,4.78821551046568,0,0,0.171892694003091,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.218882104274309
"FR14","FR14_1002","coral_B",2019,30.13587192,3.40571622031434,0,0,-0.956800989497824,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1007","coral_B",2019,18.99799285,2.94433333411251,0,0,-0.191577585853013,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_101","coral_I",2019,270.91300877,5.60179776849919,0,0,1.06639155647116,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_102","coral_I",2019,3001.92747965,8.00700985455651,0,0,-0.0179704869354897,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1021","coral_B",2019,8.33302519,2.12022655831642,0,0,-0.00195503483580313,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1034","coral_B",2019,20.69395101,3.0298414358271,0,0,-0.321957864571464,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1053","coral_B",2019,157.31642663,5.05825923328327,0,0,0.632321358246537,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_106","coral_I",2019,334.12006481,5.81150040385991,0,0,-0.425007080162813,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_108","coral_I",2019,472.87879542,6.15883910918585,0,0,-0.218872078628495,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1080","coral_B",2019,71.50746665,4.269801872919,0,0,0.150849407547926,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1083","coral_B",2019,53.04761437,3.97118989458606,0,0,0.268098472614281,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_109","coral_G",2019,525.40457651,6.26416858773882,0,0,0.184154453127156,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1133","coral_B",2019,34.19638713,3.53211999901463,0,0,-0.098469876851702,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1138","coral_B",2019,53.73252055,3.98401841504932,0,0,0.286165771933817,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_114","coral_G",2019,693.14136145,6.54123396316417,0,0,0.00739108645839122,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_120","coral_G",2019,402.59437552,5.99792954271566,0,0,0.157423473952582,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_121","coral_G",2019,254.60571877,5.53971614765423,0,0,-0.12240522824053,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_122","coral_I",2019,36.62617334,3.6007631034111,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_1290","coral_D",2019,125.51721113,4.83244288964703,0,0,0.257271369889465,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_130","coral_I",2019,66.32174843,4.19451787401994,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_136","coral_I",2019,1401.74203382,7.24547105196284,0,0,-0.198805467648411,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_138","coral_G",2019,295.52070938,5.68873891689472,0,0,-0.00225988796743748,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_139","coral_I",2019,152.65254169,5.02816436948446,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_144","coral_G",2019,291.80264726,5.67607770822025,0,0,-0.325288889293235,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_145","coral_G",2019,24.33047668,3.19172974887642,0,0,-1.99111928880704,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_146","coral_I",2019,587.5516587,6.37596417185485,0,0,-0.30458667422077,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_149","coral_G",2019,393.1687619,5.97423893928793,0,0,-0.00842562394052252,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_157","coral_I",2019,554.44786,6.31797277171101,1,0,0,0,6.3129,4.63,0,0,0,2019,2017,0.198215124471584,0.198215124471584
"FR14","FR14_158","coral_I",2019,1984.01013056,7.59287539396081,0,0,-0.217545322319444,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_162","coral_I",2019,6847.9202897,8.83170027781516,0,0,-0.165947427397118,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_165","coral_I",2019,232.62349185,5.44942123176031,0,0,0.544690916626243,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_167","coral_I",2019,575.3211912,6.35492847823344,0,0,-0.338090621826366,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_17","coral_I",2019,299.54861001,5.70227670825878,0,0,-0.368176944871708,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1705","coral_D",2019,305.7616875,5.72280599951127,0,0,0.0934026669310055,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1707","coral_B",2019,61.05449376,4.1117668057102,0,0,0.0780192931950607,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_1708","coral_D",2019,160.6268065,5.07908370227885,0,0,0.227340162038661,0,6.3129,4.63,0,0,0,2016,2015,0.198215124471584,0.198215124471584
"FR14","FR14_171","coral_I",2019,118.97798784,4.77893849986688,0,0,1.20891922826126,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_176","coral_G",2019,335.94648129,5.8169518654015,0,0,0.0240726892541833,0,6.3129,4.63,0,0,0,NA,NA,0.198215124471584,0.198215124471584
"FR14","FR14_1765","coral_H",2019,143.11277704,4.96363297006778,1,0,0,0,6.3129,6.3129,4.63,1,0,2015,2015,0.198215124471584,0.198215124471584
