"Site","GenSiteID","GenID","size_2013","size_2014","size_2015","size_2016","size_2017","size_2018","size_2019","Fate_2013","Fate_2014","Fate_2015","Fate_2016","Fate_2017","Fate_2018"
"FR132","FR132_2685",0,0,0,0,0,0,3.36456504,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2686",0,0,0,0,0,0,3.8382174,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2687",0,0,0,0,0,0,4.45886532,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2688",0,0,0,0,0,0,2.74391712,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2689",0,0,0,0,0,0,10.82867292,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2690",0,0,0,0,0,0,1.60061832,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2692",0,0,0,0,0,0,1.43728992,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2695",0,0,0,0,0,0,2.74391712,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2696",0,0,0,0,0,0,4.06687716,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2697",0,0,0,0,0,0,6.2881434,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2699",0,0,0,0,0,0,4.58952804,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_27",27,347.98748904,416.71607976,202.51088316,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_270",270,534.31252776,414.9358002,763.151949,0,0,0,0,"alive","alive","died","AD","AD","AD"
"FR132","FR132_2700",0,0,0,0,0,0,11.80864332,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2701",0,0,0,0,0,0,12.0046374,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2703",0,0,0,0,0,0,2.041605,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2704",0,0,0,0,0,0,12.9846078,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2705",0,0,0,0,0,0,1.633284,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2706",0,0,0,0,0,0,2.15593488,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2708",0,0,0,0,0,0,137.86550244,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2709",0,0,0,0,0,0,3.78921888,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2717",0,0,0,0,0,0,6.2064792,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2719",0,0,0,0,0,0,227.01014316,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2720",0,0,0,0,0,0,2.858247,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2724",0,0,0,0,0,0,5.29184016,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2725",0,0,0,0,0,0,5.1448446,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2727",0,0,0,0,0,0,1.09430028,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2733",0,0,0,0,0,0,18.9460944,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2734",0,0,0,0,0,0,0.84930768,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2737",0,0,0,0,0,0,3.03790824,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2740",0,0,0,0,0,0,11.3513238,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2747",0,0,0,0,0,0,24.92391384,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2749",0,0,0,0,0,0,2.66225292,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2752",0,0,0,0,0,0,49.21084692,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2753",0,0,0,0,0,0,3.78921888,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2754",0,0,0,0,0,0,1.20863016,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2758",0,0,0,0,0,0,80.439237,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2760",0,0,0,0,0,0,2.48259168,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2761",0,0,0,0,0,0,14.11157376,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2762",0,0,0,0,0,0,3.80555172,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2765",0,0,0,0,0,0,2.64592008,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2766",0,0,0,0,0,0,71.40717648,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2768",0,0,0,0,0,0,49.27617828,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2769",0,0,0,0,0,0,372.1437594,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2771",0,0,0,0,0,0,5.61849696,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2775",0,0,0,0,0,0,7.95409308,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2777",0,0,0,0,0,0,5.50416708,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2779",0,0,0,0,0,0,3.44622924,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_278",278,22.9476402,20.6610426,0,0,0,0,0,"alive","died","AD","AD","AD","AD"
"FR132","FR132_2780",0,0,0,0,0,0,19.89339912,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2781",0,0,0,0,0,0,9.01572768,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2782",0,0,0,0,0,0,4.01787864,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2783",0,0,0,0,0,0,18.65210328,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2784",0,0,0,0,0,0,55.40099328,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2785",0,0,0,0,0,0,74.8860714,0,"BC","BC","BC","BC","recruit","died"
"FR132","FR132_2786",0,0,0,0,0,0,2.6949186,0,"BC","BC","BC","BC","recruit","died"
